#{"t_start": 1784097332.540789, "env_id": "None"}
r,l,t
10.0,10,3.832432
10.0,8,3.833214
10.0,8,3.834001
10.0,10,3.834987
10.0,10,3.835963
10.0,8,3.836748
10.0,8,3.837526
10.0,8,3.838308
10.0,8,3.83909
10.0,8,3.839891
10.0,8,3.840669
10.0,8,3.841459
10.0,10,3.842447
10.0,10,3.843412
10.0,8,3.844193
10.0,10,3.845162
10.0,8,3.845942
10.0,8,3.846722
10.0,8,3.847498
10.0,8,3.848333
10.0,8,3.849123
10.0,8,3.849926
10.0,8,3.850705
10.0,8,3.85149
10.0,10,3.85246
10.0,10,3.853431
10.0,8,3.854213
10.0,8,3.854986
10.0,8,3.855768
10.0,8,3.856561
10.0,10,3.857534
10.0,8,3.858441
10.0,8,3.859283
10.0,8,3.86009
10.0,8,3.860889
10.0,8,3.861688
10.0,8,3.862482
10.0,8,3.863272
10.0,8,3.864069
10.0,8,3.864985
10.0,8,3.865854
10.0,8,3.866688
10.0,10,3.867719
10.0,8,3.868545
10.0,8,3.869368
10.0,8,3.870191
10.0,12,3.871405
10.0,10,3.872424
10.0,8,3.873253
10.0,10,3.874291
10.0,8,3.875107
10.0,8,3.875924
10.0,8,3.876734
10.0,8,3.877549
10.0,8,3.87837
10.0,8,3.879177
10.0,8,3.879989
10.0,10,3.881008
10.0,8,3.881988
10.0,8,3.882832
10.0,14,3.884239
10.0,10,3.88523
10.0,8,3.886021
10.0,8,3.88682
10.0,10,3.887807
10.0,8,3.8886
10.0,8,3.889392
10.0,8,3.890202
10.0,8,3.890992
10.0,10,3.891969
10.0,8,3.892755
10.0,8,3.893536
10.0,8,3.894323
10.0,8,3.895109
10.0,8,3.895893
10.0,8,3.896682
10.0,8,3.89747
10.0,8,3.898312
10.0,8,3.899138
10.0,8,3.899963
10.0,8,3.900779
10.0,8,3.901596
10.0,8,3.902408
10.0,10,3.903421
10.0,8,3.90423
10.0,10,3.905238
10.0,8,3.906063
10.0,8,3.906889
10.0,8,3.907708
10.0,8,3.908522
10.0,8,3.909342
10.0,8,3.910156
10.0,8,3.910966
10.0,10,3.911969
10.0,10,3.912974
10.0,8,3.913804
10.0,8,3.914657
10.0,8,3.915478
10.0,8,3.916292
10.0,8,3.91711
10.0,10,3.918118
10.0,8,3.918924
10.0,8,3.91974
10.0,8,3.920544
10.0,10,3.921565
10.0,10,3.92257
10.0,8,3.923398
10.0,8,3.924207
10.0,8,3.925018
10.0,8,3.92583
10.0,8,3.926639
10.0,10,3.927639
10.0,8,3.928442
10.0,8,3.929247
10.0,8,3.930064
10.0,10,3.931067
10.0,12,3.932295
10.0,8,3.933087
10.0,12,3.93426
10.0,8,3.935047
10.0,8,3.935844
10.0,8,3.936627
10.0,8,3.937417
10.0,10,3.938389
10.0,8,3.939177
10.0,8,3.939973
10.0,8,3.940756
10.0,8,3.941546
10.0,8,3.942328
10.0,10,3.943306
10.0,8,3.944092
10.0,8,3.944874
10.0,8,3.945675
10.0,8,3.946459
10.0,8,3.947238
10.0,12,3.948448
10.0,8,3.949232
10.0,8,3.950022
10.0,8,3.950806
10.0,10,3.95178
10.0,10,3.952754
10.0,10,3.953747
10.0,8,3.954526
10.0,8,3.955312
10.0,8,3.956098
10.0,10,3.957082
10.0,8,3.957867
10.0,8,3.95865
10.0,10,3.959628
10.0,10,3.960597
10.0,8,3.961396
10.0,8,3.962178
10.0,10,3.963153
10.0,8,3.963935
10.0,8,3.964773
10.0,8,3.965606
10.0,8,3.966416
10.0,8,3.967226
10.0,8,3.968036
10.0,10,3.969054
10.0,8,3.969869
10.0,8,3.970674
10.0,8,3.971482
10.0,8,3.972286
10.0,8,3.973108
10.0,8,3.973924
10.0,8,3.974733
10.0,8,3.97554
10.0,8,3.976347
10.0,8,3.977177
10.0,8,3.977983
10.0,12,3.979183
10.0,8,3.979986
10.0,8,3.980793
10.0,10,3.981842
10.0,8,3.982629
10.0,8,3.983415
10.0,8,3.984203
10.0,8,3.984992
10.0,8,3.985784
10.0,8,3.986571
10.0,10,3.987548
10.0,12,4.2339
10.0,8,4.234805
10.0,8,4.235628
10.0,8,4.236443
10.0,8,4.237255
10.0,8,4.238063
10.0,8,4.238859
10.0,8,4.239658
10.0,10,4.240675
10.0,8,4.241468
10.0,8,4.242263
10.0,8,4.243059
10.0,8,4.243857
10.0,8,4.244646
10.0,8,4.245441
10.0,8,4.246236
10.0,8,4.247023
10.0,8,4.247836
10.0,8,4.248644
10.0,8,4.249433
10.0,8,4.250227
10.0,8,4.251015
10.0,8,4.251808
10.0,8,4.252594
