#{"t_start": 1784097126.338288, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.296864
9.0,9,2.29856
9.0,9,2.29996
10.0,10,2.301376
9.0,9,2.303116
10.0,10,2.304529
9.0,9,2.305902
9.0,9,2.30761
9.0,9,2.308954
9.0,9,2.310314
8.0,8,2.31163
10.0,10,2.313367
9.0,9,2.314703
10.0,10,2.316089
8.0,8,2.317348
9.0,9,2.31904
9.0,9,2.320395
9.0,9,2.321771
10.0,10,2.3236
10.0,10,2.324965
9.0,9,2.326258
10.0,10,2.328095
11.0,11,2.329902
10.0,10,2.331296
10.0,10,2.333124
9.0,9,2.334438
10.0,10,2.335868
9.0,9,2.337619
9.0,9,2.338972
9.0,9,2.340323
10.0,10,2.342106
9.0,9,2.343444
10.0,10,2.344854
11.0,11,2.34663
9.0,9,2.34795
9.0,9,2.349668
8.0,8,2.350926
11.0,11,2.352343
13.0,13,2.354679
10.0,10,2.356096
11.0,11,2.357935
10.0,10,2.359334
10.0,10,2.361141
10.0,10,2.362502
10.0,10,2.364237
8.0,8,2.365528
11.0,11,2.36736
10.0,10,2.368776
9.0,9,2.370115
10.0,10,2.371899
8.0,8,2.373202
10.0,10,2.374529
10.0,10,2.376373
12.0,12,2.378256
11.0,11,2.380068
9.0,9,2.381432
11.0,11,2.383277
9.0,9,2.384647
11.0,11,2.386485
10.0,10,2.387934
12.0,12,2.389851
9.0,9,2.391205
10.0,10,2.392996
10.0,10,2.39439
10.0,10,2.396191
9.0,9,2.397583
10.0,10,2.399442
9.0,9,2.400794
10.0,10,2.402119
10.0,10,2.403871
10.0,10,2.405296
10.0,10,2.407102
10.0,10,2.408507
9.0,9,2.410241
9.0,9,2.411589
10.0,10,2.41297
9.0,9,2.414685
10.0,10,2.416109
10.0,10,2.417939
10.0,10,2.41933
9.0,9,2.420667
9.0,9,2.422367
10.0,10,2.423777
9.0,9,2.425086
8.0,8,2.426385
10.0,10,2.428179
10.0,10,2.429599
9.0,9,2.431326
9.0,9,2.432686
10.0,10,2.434098
10.0,10,2.435871
10.0,10,2.437258
9.0,9,2.439037
10.0,10,2.4404
11.0,11,2.442267
10.0,10,2.443718
11.0,11,2.445562
10.0,10,2.447405
9.0,9,2.448804
9.0,9,2.450161
10.0,10,2.45197
10.0,10,2.453399
11.0,11,2.455295
10.0,10,2.456676
10.0,10,2.458486
10.0,10,2.459872
10.0,10,2.461689
10.0,10,2.463061
12.0,12,2.465032
10.0,10,2.467018
10.0,10,2.468458
9.0,9,2.47032
9.0,9,2.471733
9.0,9,2.473102
11.0,11,2.475011
12.0,12,2.476932
8.0,8,2.478228
10.0,10,2.479644
10.0,10,2.481473
10.0,10,2.482903
10.0,10,2.484702
9.0,9,2.486085
9.0,9,2.487539
10.0,10,2.48936
10.0,10,2.49078
9.0,9,2.492525
10.0,10,2.493982
8.0,8,2.49528
8.0,8,2.496577
10.0,10,2.498417
8.0,8,2.49973
9.0,9,2.501083
10.0,10,2.502524
9.0,9,2.50431
10.0,10,2.50579
9.0,9,2.50714
10.0,10,2.50892
10.0,10,2.510339
10.0,10,2.512043
9.0,9,2.513416
9.0,9,2.514782
9.0,9,2.516488
11.0,11,2.517888
10.0,10,2.519704
9.0,9,2.521088
8.0,8,2.522337
10.0,10,2.524127
9.0,9,2.525435
10.0,10,2.526877
11.0,11,2.52877
9.0,9,2.530211
12.0,12,2.53222
11.0,11,2.534111
9.0,9,2.535528
10.0,10,2.537356
10.0,10,2.538785
11.0,11,2.54063
8.0,8,2.541936
10.0,10,2.543726
10.0,10,2.545139
10.0,10,2.546944
10.0,10,2.54847
9.0,9,2.54981
9.0,9,2.551545
10.0,10,2.552983
10.0,10,2.554901
10.0,10,2.556394
8.0,8,2.557696
10.0,10,2.55948
9.0,9,2.560872
9.0,9,2.562248
10.0,10,2.564113
9.0,9,2.565482
8.0,8,2.566765
9.0,9,2.568128
11.0,11,2.569967
9.0,9,2.571297
9.0,9,2.572655
9.0,9,2.574397
9.0,9,2.575756
10.0,10,2.577205
9.0,9,2.578992
10.0,10,2.580437
10.0,10,2.582445
10.0,10,2.583943
10.0,10,2.585769
10.0,10,2.587513
9.0,9,2.588932
9.0,9,2.590676
12.0,12,2.592639
10.0,10,2.594114
10.0,10,2.596077
8.0,8,2.597431
9.0,9,2.59877
9.0,9,2.600102
12.0,12,2.601997
10.0,10,2.603884
9.0,9,2.605248
9.0,9,2.606647
9.0,9,2.607998
9.0,9,2.609757
9.0,9,2.611113
8.0,8,2.612434
10.0,10,2.613888
10.0,10,2.615696
9.0,9,2.617006
11.0,11,2.618851
10.0,10,2.620337
10.0,10,2.622197
12.0,12,2.624085
8.0,8,2.625361
9.0,9,2.62673
9.0,9,2.628091
10.0,10,2.629887
9.0,9,2.631268
8.0,8,2.632551
8.0,8,2.633821
10.0,10,2.635616
11.0,11,2.637076
10.0,10,2.638833
10.0,10,2.640228
10.0,10,2.641984
9.0,9,2.643352
9.0,9,2.644712
12.0,12,2.646542
9.0,9,2.648353
10.0,10,2.649759
9.0,9,2.651103
9.0,9,2.652824
10.0,10,2.654232
9.0,9,2.655612
9.0,9,2.65734
9.0,9,2.658657
10.0,10,2.660056
11.0,11,2.661934
12.0,12,2.663802
9.0,9,2.665154
10.0,10,2.66693
11.0,11,2.668801
9.0,9,2.670145
11.0,11,2.672009
10.0,10,2.673353
10.0,10,2.675188
8.0,8,2.676475
8.0,8,2.677759
11.0,11,2.679199
8.0,8,2.680535
12.0,12,2.682436
9.0,9,2.684163
10.0,10,2.685461
11.0,11,2.687334
9.0,9,2.688684
10.0,10,2.69047
9.0,9,2.691825
9.0,9,2.693194
9.0,9,2.694539
8.0,8,2.695814
9.0,9,2.697588
9.0,9,2.698984
9.0,9,2.700299
10.0,10,2.702024
11.0,11,2.703435
9.0,9,2.705168
10.0,10,2.706548
12.0,12,2.708381
12.0,12,2.710244
9.0,9,2.711608
8.0,8,2.712895
9.0,9,2.714752
9.0,9,2.716149
11.0,11,2.718022
10.0,10,2.719453
9.0,9,2.720786
9.0,9,2.722525
10.0,10,2.72397
10.0,10,2.725779
9.0,9,2.72713
9.0,9,2.728448
10.0,10,2.730247
11.0,11,2.731696
12.0,12,2.733566
10.0,10,2.735353
10.0,10,2.73674
9.0,9,2.738463
10.0,10,2.739872
9.0,9,2.741208
9.0,9,2.742962
8.0,8,2.74426
10.0,10,2.745669
10.0,10,2.747437
8.0,8,2.748743
10.0,10,2.750153
